time;mode;x_int;pitch;vel;ang_vel_y;xRef_x;xRef_theta;xRef_dx;u_cmd;u_L;u_R;com_x;com_y;com_z;roll;pitch_imu;yaw;v_ref_cmd;v_L_ref;v_R_ref
0.026378;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582466;3.582466;3.582466;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.028483;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582476;3.582476;3.582476;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.030411;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582485;3.582485;3.582485;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.032516;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582493;3.582493;3.582493;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.034456;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582501;3.582501;3.582501;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.036380;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582509;3.582509;3.582509;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.038380;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582516;3.582516;3.582516;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.040376;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582523;3.582523;3.582523;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.042891;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582529;3.582529;3.582529;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.044485;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582535;3.582535;3.582535;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.046393;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582540;3.582540;3.582540;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.380204;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582546;3.582546;3.582546;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.384304;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582550;3.582550;3.582550;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.386634;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582555;3.582555;3.582555;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.389010;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582559;3.582559;3.582559;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.391568;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582563;3.582563;3.582563;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.393684;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582567;3.582567;3.582567;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.396047;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582571;3.582571;3.582571;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.400446;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582574;3.582574;3.582574;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.402828;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582578;3.582578;3.582578;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.405092;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582581;3.582581;3.582581;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.407192;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582584;3.582584;3.582584;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.409096;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582586;3.582586;3.582586;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.411034;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582589;3.582589;3.582589;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.413601;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582591;3.582591;3.582591;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.416227;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582594;3.582594;3.582594;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.418700;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582596;3.582596;3.582596;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.422638;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582598;3.582598;3.582598;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.424601;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582600;3.582600;3.582600;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.426632;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582602;3.582602;3.582602;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.429001;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582604;3.582604;3.582604;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.431306;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582606;3.582606;3.582606;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.433398;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582607;3.582607;3.582607;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.435769;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582609;3.582609;3.582609;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.437663;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582611;3.582611;3.582611;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.439473;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582612;3.582612;3.582612;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.441299;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582613;3.582613;3.582613;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.443048;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582615;3.582615;3.582615;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.445174;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582616;3.582616;3.582616;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.447636;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582617;3.582617;3.582617;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.450290;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582618;3.582618;3.582618;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.452210;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582620;3.582620;3.582620;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.454661;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582621;3.582621;3.582621;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.456430;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582622;3.582622;3.582622;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.458092;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582623;3.582623;3.582623;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.459853;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582624;3.582624;3.582624;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.462126;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582625;3.582625;3.582625;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.464567;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582626;3.582626;3.582626;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.466925;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582626;3.582626;3.582626;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.470740;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582627;3.582627;3.582627;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.472769;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582628;3.582628;3.582628;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.474735;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582629;3.582629;3.582629;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.476721;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582629;3.582629;3.582629;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.480289;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582630;3.582630;3.582630;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.482957;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582631;3.582631;3.582631;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.484955;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582632;3.582632;3.582632;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.488945;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582632;3.582632;3.582632;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.490903;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582633;3.582633;3.582633;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.493437;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582633;3.582633;3.582633;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.495755;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582634;3.582634;3.582634;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.498199;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582634;3.582634;3.582634;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.500648;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582635;3.582635;3.582635;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.503375;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582636;3.582636;3.582636;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.507380;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582636;3.582636;3.582636;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509796;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582636;3.582636;3.582636;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.511788;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582637;3.582637;3.582637;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.514111;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582637;3.582637;3.582637;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.517234;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582638;3.582638;3.582638;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521462;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582638;3.582638;3.582638;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.523998;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582639;3.582639;3.582639;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526971;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582639;3.582639;3.582639;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.529404;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582639;3.582639;3.582639;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.533514;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582640;3.582640;3.582640;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.535858;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582640;3.582640;3.582640;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.538391;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582640;3.582640;3.582640;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.540834;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582641;3.582641;3.582641;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.543531;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582641;3.582641;3.582641;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.545823;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582641;3.582641;3.582641;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.550000;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582642;3.582642;3.582642;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552656;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582642;3.582642;3.582642;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.555060;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582642;3.582642;3.582642;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.557400;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582643;3.582643;3.582643;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.559852;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582643;3.582643;3.582643;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.563898;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582643;3.582643;3.582643;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.566340;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582643;3.582643;3.582643;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.568795;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582644;3.582644;3.582644;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.571504;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582644;3.582644;3.582644;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.573601;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582644;3.582644;3.582644;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.575239;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582644;3.582644;3.582644;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.576737;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582644;3.582644;3.582644;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.578402;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582645;3.582645;3.582645;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.580121;INIT;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.060000;3.582645;3.582645;3.582645;0.004593;-0.000000;-0.044205;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
